url,clicks,leads,sales,saleAmount
https://polymarket.com/event/megaeth-250m-pre-deposit-bridge-filled-in-the-first-hour,0,0,125,77217007
https://polymarket.com/event/what-will-powell-say-during-october-press-conference/will-powell-say-good-afternoon-during-october-press-conference-812,0,0,13,43457148
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale,0,0,132,40017686
https://polymarket.com/,0,0,104,17891769
https://polymarket.com/event/what-day-will-gemini-3pt0-be-released/will-gemini-3pt0-be-released-on-november-18-2025,0,0,21,5067806
https://polymarket.com/event/monad-market-cap-fdv-one-day-after-launch,0,0,204,3613680
https://polymarket.com/event/what-will-bryan-johnson-say-while-tripping-balls/will-bryan-johnson-say-mushroom-10-times-while-tripping-balls,0,0,38,3425038
https://polymarket.com/event/will-polymarket-us-go-live-in-2025,0,0,11,3311520
https://polymarket.com/rewards,0,0,5,1224028
https://polymarket.com/event/what-day-will-the-lighter-airdrop-be,0,0,16,790984
https://polymarket.com/event/megaeth-market-cap-fdv-one-day-after-launch/megaeth-market-cap-fdv-2b-one-day-after-launch-738,0,0,21,115257
https://polymarket.com/@0xafEe,0,0,3,71933
https://polymarket.com/event/gemini-3pt0-released-by,0,0,2,20485
https://polymarket.com/event/over-150000-bidders-in-the-megaeth-public-sale,0,0,4,12286
